subj,delay,congruency,granularity,cond,accuracy_gran,accuracy_rel,prop_forgetting,include,CB_order,DK,incorrect,total_forgot,R_enc,UR_enc,DK_perc,incorrect_perc,total_forgot_perc
S115,long,UR,coarse,URcoarse,30.76923077,58.97435897,-0.423076923,1,2,0,16,16,41,39,0,41.02564103,41.02564103
S116,long,UR,coarse,URcoarse,26.31578947,42.10526316,-0.754385965,1,2,5,18,23,41,38,13.15789474,47.36842105,60.52631579
S117,long,UR,coarse,URcoarse,10,80,0,1,2,9,6,15,40,40,22.5,15,37.5
S118,long,UR,coarse,URcoarse,24.3902439,41.46341463,0.227642277,1,2,4,20,24,39,41,9.756097561,48.7804878,58.53658537
S119,long,UR,coarse,URcoarse,5,35,0,1,2,9,17,26,40,40,22.5,42.5,65
S120,long,UR,coarse,URcoarse,15.78947368,31.57894737,0.336842105,1,2,0,26,26,42,38,0,68.42105263,68.42105263
S121,long,UR,coarse,URcoarse,23.07692308,38.46153846,-1.307692308,1,2,0,24,24,41,39,0,61.53846154,61.53846154
S122,long,UR,coarse,URcoarse,23.80952381,52.38095238,-0.394557823,1,2,1,19,20,38,42,2.380952381,45.23809524,47.61904762
S123,long,UR,coarse,URcoarse,27.5,57.5,,1,2,8,9,17,40,40,20,22.5,42.5
P101,short,R,fine,Rfine,73.80952381,,,1,1,0,10,10,42,38,0,23.80952381,23.80952381
S102,short,R,fine,Rfine,41.02564103,,,1,1,12,5,17,39,41,30.76923077,12.82051282,43.58974359
S103,short,R,fine,Rfine,15.38461538,,,1,1,13,1,14,39,41,33.33333333,2.564102564,35.8974359
S104,short,R,fine,Rfine,65.11627907,,,1,1,0,3,3,43,37,0,6.976744186,6.976744186
S105,short,R,fine,Rfine,82.5,,,1,1,0,3,3,40,40,0,7.5,7.5
S106,short,R,fine,Rfine,57.5,,,1,1,3,13,16,40,40,7.5,32.5,40
S107,short,R,fine,Rfine,58.13953488,,,1,1,1,11,12,43,37,2.325581395,25.58139535,27.90697674
S108,short,R,fine,Rfine,75,,,1,1,2,6,8,40,40,5,15,20
S109,short,R,fine,Rfine,84.21052632,,,1,1,4,2,6,38,42,10.52631579,5.263157895,15.78947368
S110,short,R,fine,Rfine,77.5,,,1,1,1,5,6,40,40,2.5,12.5,15
S111,short,R,fine,Rfine,78.57142857,,,1,2,0,1,1,42,38,0,2.380952381,2.380952381
S112,short,R,fine,Rfine,95.12195122,,,1,2,0,1,1,41,39,0,2.43902439,2.43902439
S113,short,R,fine,Rfine,65,,,1,2,2,12,14,40,40,5,30,35
S114,short,R,fine,Rfine,56.41025641,,,1,2,0,10,10,39,41,0,25.64102564,25.64102564
S115,short,R,fine,Rfine,65.11627907,,,1,2,0,9,9,43,37,0,20.93023256,20.93023256
S116,short,R,fine,Rfine,67.5,,,1,2,1,11,12,40,40,2.5,27.5,30
S117,short,R,fine,Rfine,92.5,,,1,2,2,1,3,40,40,5,2.5,7.5
S118,short,R,fine,Rfine,69.04761905,,,1,2,0,7,7,42,38,0,16.66666667,16.66666667
S119,short,R,fine,Rfine,85,,,1,2,3,0,3,40,40,7.5,0,7.5
S120,short,R,fine,Rfine,63.15789474,,,1,2,0,11,11,38,42,0,28.94736842,28.94736842
S121,short,R,fine,Rfine,80,,,1,2,0,4,4,40,40,0,10,10
S122,short,R,fine,Rfine,84.61538462,,,1,2,0,5,5,39,41,0,12.82051282,12.82051282
S123,short,R,fine,Rfine,97.43589744,,,1,2,0,1,1,39,41,0,2.564102564,2.564102564
